"file","hasTargetsByPhase","token","status","missingKeys","metaNote"
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","late","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","prebreed","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","postpeak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","grower","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","peak","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json","True","developer","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","late","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","early","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
"C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json","True","starter","PARTIAL_KEYS","me,cp,ca,avp,na,sid_lys,sid_met,sid_metcys,sid_thr,sid_trp,sid_arg",""
